City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,Mount Gambier,-37.8333,140.7667,75.11,43,0,17.27,AU,2022-01-19 23:53:46
160,Inongo,-1.95,18.2667,74.41,80,99,3.13,CD,2022-01-19 23:53:46
161,Margate,-30.8636,30.3705,70.83,85,65,1.77,ZA,2022-01-19 23:53:46
162,Oktyabr'skoye,43.0645,44.7417,23.14,100,100,13.42,RU,2022-01-19 23:53:47
163,Port Elizabeth,-33.918,25.5701,66.49,88,0,9.22,ZA,2022-01-19 23:53:47
164,Konin,52.2234,18.2512,34.05,83,100,20.15,PL,2022-01-19 23:53:47
165,Vitim,59.4511,112.5578,-11.54,100,91,3.38,RU,2022-01-19 23:53:47
166,Souillac,-20.5167,57.5167,80.37,94,40,1.14,MU,2022-01-19 23:53:48
167,Faanui,-16.4833,-151.75,80.62,78,100,23.26,PF,2022-01-19 23:53:48
168,Pisco,-13.7,-76.2167,75.25,73,0,21.85,PE,2022-01-19 23:53:48
169,Sioux Lookout,50.1001,-91.917,-12.62,70,20,10.36,CA,2022-01-19 23:53:23
170,Husavik,66.0449,-17.3389,28.31,72,98,14.79,IS,2022-01-19 23:53:48
171,Sitka,57.0531,-135.33,35.94,94,100,9.04,US,2022-01-19 23:53:48
172,Castro,-42.4721,-73.7732,69.28,49,0,6.91,CL,2022-01-19 23:53:49
173,Venustiano Carranza,19.43,-99.0992,69.78,26,75,5.99,MX,2022-01-19 23:53:49
174,Lavrentiya,65.5833,-171.0,-15.56,93,25,8.25,RU,2022-01-19 23:53:49
175,Okhotsk,59.3833,143.3,-9.58,77,16,10.02,RU,2022-01-19 23:53:49
176,Lebu,-37.6167,-73.65,57.13,74,0,7.25,CL,2022-01-19 23:53:50
177,Nsanje,-16.92,35.262,69.57,97,25,2.73,MW,2022-01-19 23:53:50
178,Riachão das Neves,-11.7461,-44.91,71.96,82,0,1.25,BR,2022-01-19 23:53:50
179,Khovu-Aksy,51.1333,93.6,2.79,96,89,3.0,RU,2022-01-19 23:53:50
180,Bougouni,11.417,-7.479,70.39,13,2,5.84,ML,2022-01-19 23:54:51
181,New Norfolk,-42.7826,147.0587,69.66,39,96,2.37,AU,2022-01-19 23:54:51
182,Vila Franca do Campo,37.7167,-25.4333,61.21,88,87,21.0,PT,2022-01-19 23:54:51
183,Linxia Chengguanzhen,35.6003,103.2064,30.92,42,76,0.87,CN,2022-01-19 23:54:51
184,Manggar,-2.8833,108.2667,75.61,87,100,11.72,ID,2022-01-19 23:54:52
185,Meulaboh,4.1363,96.1285,73.72,89,99,4.14,ID,2022-01-19 23:54:52
186,Narsaq,60.9167,-46.05,33.12,97,100,13.31,GL,2022-01-19 23:54:52
187,Agadir,30.4202,-9.5982,55.85,50,53,7.31,MA,2022-01-19 23:49:54
188,Bethel,41.3712,-73.414,42.49,69,47,6.31,US,2022-01-19 23:54:52
189,Capreol,46.706,-80.9225,0.55,73,75,5.01,CA,2022-01-19 23:54:53
190,Eureka,40.8021,-124.1637,56.12,84,72,5.99,US,2022-01-19 23:54:53
191,Bonavista,48.6499,-53.1147,24.12,63,89,25.55,CA,2022-01-19 23:54:53
192,Mapiripán,2.8892,-72.1256,79.29,57,68,1.14,CO,2022-01-19 23:54:53
193,Tamandaré,-8.7597,-35.1047,78.75,76,2,5.77,BR,2022-01-19 23:54:54
194,Tinskoy,56.1525,96.9161,-0.98,100,92,2.35,RU,2022-01-19 23:54:54
195,Twentynine Palms,34.1356,-116.0542,70.97,25,0,3.0,US,2022-01-19 23:54:54
196,Kamenka,51.3223,42.7678,-2.54,100,100,3.89,RU,2022-01-19 23:54:54
197,Leninsk-Kuznetsky,54.6567,86.1737,-7.1,100,100,1.95,RU,2022-01-19 23:54:54
198,Gunjur,13.2019,-16.7339,73.47,78,0,2.3,GM,2022-01-19 23:54:55
199,São João da Barra,-21.6403,-41.0511,76.32,91,1,10.33,BR,2022-01-19 23:54:55
200,Korla,41.7597,86.1469,28.08,44,94,5.93,CN,2022-01-19 23:54:55
201,Plainview,40.7765,-73.4673,46.51,76,73,1.99,US,2022-01-19 23:54:56
202,Sherlovaya Gora,50.5667,116.25,-20.38,99,44,3.33,RU,2022-01-19 23:54:56
203,Coquimbo,-29.9533,-71.3436,65.93,63,0,10.36,CL,2022-01-19 23:53:41
204,Rio Grande,-32.035,-52.0986,81.95,85,69,10.98,BR,2022-01-19 23:54:56
205,Kidal,18.4411,1.4078,58.89,25,0,10.92,ML,2022-01-19 23:54:56
206,Susanville,40.4163,-120.653,48.04,56,0,4.61,US,2022-01-19 23:54:57
207,Khandyga,62.6667,135.6,-46.35,100,57,1.86,RU,2022-01-19 23:54:57
208,Chilchotla,19.2548,-97.1844,55.36,75,71,3.91,MX,2022-01-19 23:54:57
209,Itarema,-2.9248,-39.9167,78.85,84,19,11.63,BR,2022-01-19 23:54:57
210,Karratha,-20.7377,116.8463,86.97,56,4,9.01,AU,2022-01-19 23:54:58
211,Prieska,-29.6641,22.7474,82.11,26,0,5.32,ZA,2022-01-19 23:54:58
212,Kaohsiung City,22.6163,120.3133,65.03,89,75,2.3,TW,2022-01-19 23:54:58
213,Fethiye,36.6217,29.1164,35.47,50,0,7.02,TR,2022-01-19 23:54:59
